Year,DebursÄƒri,Value
2010,Net disbursement,18.7
2010,Gross disbursement,18.8
2011,Net disbursement,27.4
2011,Gross disbursement,27.4
2012,Net disbursement,28.0
2012,Gross disbursement,28.3
2013,Net disbursement,26.2
2013,Gross disbursement,26.6
2014,Net disbursement,13.1
2014,Gross disbursement,13.8
2015,Net disbursement,12.2
2015,Gross disbursement,12.8
2016,Net disbursement,15.4
2016,Gross disbursement,16.1
2017,Net disbursement,13.0
2017,Gross disbursement,14.2
2018,Net disbursement,8.9
2018,Gross disbursement,10.8
2019,Net disbursement,9.5
2019,Gross disbursement,13.1
2020,Net disbursement,8.7
2020,Gross disbursement,12.8
2021,Net disbursement,18.2
2021,Gross disbursement,22.2
2022,Net disbursement,
2022,Gross disbursement,
